,checkin_id,created_at,rating_score,user_id,beer_id,beer_name,beer_style,beer_slug,brewery_name,brewery_country,brewery_city,venue_country,venue_city
0,920012809,2020,4.0,1279815,3459729,Доза [Mango + Passion Fruit],Sour - Fruited,4brewers-doza-mango-passion-fruit,4BREWERS,Russia,Vladimir,Belarus,Minsk
1,919968334,2020,4.0,1279815,3871898,Доза [Mango + Peach + Orange],Sour - Fruited,4brewers-doza-mango-peach-orange,4BREWERS,Russia,Vladimir,Belarus,Minsk
2,919919437,2020,3.75,1279815,3861542,Lobster On Acid,Sour - Fruited Gose,wild-lab-lobster-on-acid,Wild Lab,Russia,Moscow,Belarus,Minsk
3,919910138,2020,4.25,1279815,2575473,Жажда [Облепиха],Sour - Fruited Gose,4brewers-zhazhda-oblepiha,4BREWERS,Russia,Vladimir,Belarus,Minsk
4,919904871,2020,4.25,1279815,3840474,Balloon,Sour - Fruited,red-button-brewery-baloon,Red Button Brewery,Russia,Moscow,Belarus,Minsk
5,919861629,2020,4.0,1279815,2042006,Raspberry Is My Sanctuary,Sour - Fruited Berliner Weisse,af-brew-raspberry-is-my-sanctuary,AF Brew,Russia,Saint Petersburg,Belarus,Мінск
6,919575091,2020,4.0,1279815,3827567,Storm Kelpie,Sour - Fruited,lux-in-tenebris-storm-kelpie,Lux In Tenebris,Russia,Moscow,Belarus,Minsk
7,919516196,2020,4.0,1279815,3864038,Postmodern,Sour - Fruited,big-village-brewery-postmodern,Big Village Brewery,Russia,Krasnodar,Belarus,Minsk
8,919496188,2020,3.75,1279815,2446110,Sadwave IPA,IPA - New England,zagovor-brewery-sadwave-ipa,Zagovor Brewery,Russia,Moscow,Belarus,Minsk
9,919464423,2020,4.0,1279815,3862810,Caribbean Seduction,Sour - Fruited,wild-lab-caribbean-seduction,Wild Lab,Russia,Moscow,Belarus,Minsk
10,919463295,2020,4.0,1279815,3735317,Oxidont,Sour - Fruited,lux-in-tenebris-oxidont,Lux In Tenebris,Russia,Moscow,Belarus,Minsk
11,919347456,2020,3.5,1279815,3775210,BOINGO,IPA - New England,ostrovica-boingo,Ostrovica,Russia,Asha,Belarus,Мінск
12,919206646,2020,4.5,1279815,3846532,Consider Me With Dark Berries,Wild Ale - Other,zagovor-brewery-consider-me-with-dark-berries,Zagovor Brewery,Russia,Moscow,Belarus,Мінск
13,919201044,2020,4.75,1279815,3765125,Consider Me With Blueberry/Tonka,Wild Ale - Other,wild-lab-consider-me-with-blueberry-tonka,Wild Lab,Russia,Moscow,Belarus,Мінск
14,919198259,2020,4.25,1279815,3846456,Consider Me With Tropical Fruits,Wild Ale - Other,stamm-brewing-consider-me-with-tropical-fruits,Stamm Brewing,Russia,Красная Пахра,Belarus,Мінск
15,919176072,2020,4.0,1279815,3807969,Харчо от Бурчо,Sour - Gose,hophead-brewery-harcho-ot-burcho,Hophead Brewery,Russia,Saint Petersburg,Belarus,Мінск
16,919174724,2020,3.75,1279815,3766932,Hop Gun Multiplayer,IPA - American,stamm-brewing-hop-gun-multiplayer,Stamm Brewing,Russia,Красная Пахра,Belarus,Мінск
17,919168198,2020,3.75,1279815,3872980,Xanna's Triple IPA,IPA - Triple,double-xanna-xanna-s-triple-ipa,Double Xanna,Belarus,,Belarus,Мінск
18,919157092,2020,4.5,1279815,3855085,"SQUIRTDZH - Passion Fruit, Guava, Bloody Orange",Sour - Fruited,cosmic-city-squirtdzh-passion-fruit-guava-bloody-orange,Cosmic City,Russia,Korolyov,Belarus,Мінск
19,919153882,2020,4.25,1279815,3726938,"Smoothie You Deserve: Pineapple, Guava & Mango",Sour - Fruited,dieta-dieta-smoothie-you-deserve-pineapple-guava-and-mango,DIETA / ДИЕТА,Russia,Saint Petersburg,Belarus,Мінск
20,919095983,2020,4.0,1279815,3839381,Amber Tart,Sour - Fruited,plan-b-brewery-amber-tart,Plan B Brewery,Russia,Yaroslavl,Belarus,Minsk
21,918857604,2020,3.75,1279815,3870996,Vietraź: Limon i čorny pierac,Wheat Beer - Witbier,malanka-vietraz-limon-i-corny-pierac,Malanka,Belarus,Minsk,Belarus,Minsk
22,918829345,2020,4.0,1279815,3840482,Ester,Cider - Graff,oh-no-cidrerie-ester,Oh No Cidrerie,Russia,Moscow,Belarus,Minsk
23,918819022,2020,3.5,1279815,3872965,Lemondrop One Love,IPA - Session / India Session Ale,jungle-brewery-lemondrop-one-love,Jungle Brewery,Belarus,Юзуфово,Belarus,Minsk
24,918762203,2020,4.0,1279815,2832356,Desert Berliner,Sour - Fruited Berliner Weisse,green-street-brewery-desert-berliner,Green Street Brewery,Russia,Moscow,Belarus,Minsk
25,918738377,2020,3.25,1279815,3832108,In the Old Days,IPA - American,manfas-brewery-in-the-old-days,MANFAS Brewery,Russia,Moscow,Belarus,Minsk
26,918733547,2020,3.75,1279815,3031448,Sea-buckthorn + Ginger,Cider - Other Fruit,appleton-ciders-sea-buckthorn-ginger,Appleton Ciders,Russia,Moscow,Belarus,Minsk
27,918672560,2020,4.25,1279815,3840480,HOLLIE,Cider - Graff,oh-no-cidrerie-hollie,Oh No Cidrerie,Russia,Moscow,Belarus,Minsk
28,918658369,2020,4.0,1279815,3871836,White Beard (Amarillo & El Dorado),Wheat Beer - American Pale Wheat,blood-brothers-brewery-white-beard-amarillo-and-el-dorado,Blood Brothers Brewery,Belarus,,Belarus,Minsk
29,918653766,2020,4.25,1279815,3844402,Tropical Mojito,Sour - Fruited,green-street-brewery-tropical-mojito,Green Street Brewery,Russia,Moscow,Belarus,Minsk
30,918300233,2020,4.25,1279815,3538713,Berry Mary Lingonberry (Брусника),Sour - Fruited Berliner Weisse,jaws-brewery-berry-mary-lingonberry-brusnika,Jaws Brewery,Russia,Zarechnyy,Belarus,Мінск
31,918004537,2020,3.5,1279815,2701208,Sour Cruise: Lacto Peach,Sour - Fruited Berliner Weisse,ostrovica-sour-cruise-lacto-peach,Ostrovica,Russia,Asha,Belarus,
32,917915298,2020,3.75,1279815,3862780,Mad Summer : Azacca,IPA - American,bierstaat-mad-summer-azacca,Bierstaat,Belarus,Vitebsk,Belarus,
33,917914471,2020,4.0,1279815,3783413,Тропический Ёж,Sour - Fruited,courage-brewery-tropicheskij-yozh,Courage Brewery,Russia,Moscow,Belarus,
34,917903811,2020,4.0,1279815,3276077,Tarator,Sour - Fruited Berliner Weisse,hausmann-brewery-tarator,Hausmann Brewery,Russia,Pervouralsk,Belarus,
35,917816995,2020,3.75,1279815,3860580,Exit The Void,Pale Ale - American,jungle-brewery-exit-the-void,Jungle Brewery,Belarus,Юзуфово,Belarus,
36,917811190,2020,4.0,1279815,3783413,Тропический Ёж,Sour - Fruited,courage-brewery-tropicheskij-yozh,Courage Brewery,Russia,Moscow,Belarus,
37,917768803,2020,3.75,1279815,3851794,CROCODILE Hops Tears,IPA - Imperial / Double,bierbank-crocodile-hops-tears,BIERBANK,Belarus,Минск,Belarus,Мінск
38,917768718,2020,4.0,1279815,3850572,Night Dreams,Bock - Weizenbock,valaduta-brovar-night-dreams,Valaduta Brovar,Belarus,Володута,Belarus,Мінск
39,917655595,2020,4.0,1279815,3585072,Le Baiser De Cerise,American Wild Ale,brewlok-brewery-le-baiser-de-cerise,Brewlok Brewery ,Russia,Voronezh,Belarus,
40,917648710,2020,4.0,1279815,3306258,It’s Over 9000! Blackberry • Strawberry • Lime,Sour - Fruited Gose,af-brew-it-s-over-9000-blackberry-strawberry-lime,AF Brew,Russia,Saint Petersburg,Belarus,
41,917520983,2020,4.25,1279815,3287045,Totem,Sour - Fruited,jungle-brewery-totem,Jungle Brewery,Belarus,Юзуфово,Belarus,Мінск
42,917474623,2020,3.75,1279815,3792005,Deep House,IPA - Imperial / Double,atmosphere-brewery-deep-house,Atmosphere Brewery,Russia,Zelenograd,Belarus,Мінск
43,917448279,2020,3.75,1279815,3829681,BREAKING THE HABIT,Sour - Fruited Gose,coven-brewery-breaking-the-habit,COVEN Brewery,Russia,Moscow,Belarus,Мінск
44,917222583,2020,3.75,1279815,3831565,Ich Weiss Nicht,Hefeweizen,beetlefield-ich-weiss-nicht,Beetlefield,Belarus,Minsk,Belarus,Мінск
45,916750569,2020,3.25,1279815,7834,Hofbräu Münchner Weisse / Münchner Kindl / Hefe Weizen,Hefeweizen,staatliches-hofbrauhaus-munchen-hofbrau-munchner-weisse-munchner-kindl-hefe-weizen,Staatliches Hofbräuhaus München,Germany,Munich,Belarus,Віцебск
46,916739128,2020,3.75,1279815,3196953,Populism Vic Secret Edition,IPA - New England,jaws-brewery-populism-vic-secret-edition,Jaws Brewery,Russia,Zarechnyy,Belarus,Віцебск
47,916594972,2020,4.0,1279815,1592281,Sour Ale With Raspberry Puree,Sour - Fruited,salden-s-brewery-sour-ale-with-raspberry-puree,Salden's Brewery,Russia,Tula,Belarus,Віцебск
48,916591526,2020,3.75,1279815,3823176,Тропическая Дичь,Sour - Fruited,atmosphere-brewery-tropicheskaya-dich,Atmosphere Brewery,Russia,Zelenograd,Belarus,Віцебск
49,916540851,2020,4.0,1279815,3382193,Blueberry-lime Cinnabomb,Sour - Fruited Berliner Weisse,ostrovica-blueberry-lime-cinnabomb,Ostrovica,Russia,Asha,Belarus,Віцебск
50,916519275,2020,3.5,1279815,2766709,P.U.R.E. | Mango&Raspberry,Sour - Fruited,xp-brew-p-u-r-e-mango-and-raspberry,XP Brew,Russia,Gagarin,Belarus,Віцебск
51,916420336,2020,3.5,1279815,343179,Grimbergen Double Ambrée,Belgian Dubbel,kronenbourg-brewery-grimbergen-double-ambree,Kronenbourg Brewery,France,Strasbourg,Belarus,Витебск
52,916399862,2020,4.0,1279815,15980,Grimbergen Blanche,Wheat Beer - Witbier,kronenbourg-brewery-grimbergen-blanche,Kronenbourg Brewery,France,Strasbourg,Belarus,Витебск
53,916347681,2020,3.75,1279815,473058,Lidski bread kvass (Квас Лидский Хлебный),Kvass,lidskoe-pivo-lidskoe-pivo-lidski-bread-kvass-kvas-lidskij-hlebnyj,Lidskoe Pivo (Лидское Пиво),Belarus,Lida,Belarus,
54,916206969,2020,3.75,1279815,3860580,Exit The Void,Pale Ale - American,jungle-brewery-exit-the-void,Jungle Brewery,Belarus,Юзуфово,Belarus,Віцебск
55,916206490,2020,3.25,1279815,3865112,Badger Wild Ale,Wild Ale - Other,badger-brewery-badger-wild-ale,Badger Brewery,Belarus,,Belarus,Віцебск
56,916144919,2020,4.25,1279815,3039523,Sour Breeze Mango,Sour - Fruited Gose,jaws-brewery-sour-breeze-mango,Jaws Brewery,Russia,Zarechnyy,Belarus,Віцебск
57,916139257,2020,3.75,1279815,1443184,Rise Of The Zombies,Pale Ale - American,plan-b-brewery-rise-of-the-zombies,Plan B Brewery,Russia,Yaroslavl,Belarus,Віцебск
58,916138306,2020,1.5,1279815,1790259,Torvald,Lager - Pale,dvinsky-brovar-dvinskij-brovar-torvald,Dvinsky Brovar (Двинский Бровар),Belarus,Vitebsk,Belarus,Віцебск
59,916108121,2020,4.0,1279815,4473,Guinness Draught,Stout - Irish Dry,guinness-guinness-draught,Guinness,Ireland,Saint James' Gate,Belarus,Віцебск
60,916069756,2020,3.0,1279815,2108281,Бессмертие Идунн,Cider - Traditional,medovarnya-tradicii-predkov-bessmertie-idunn,Медоварня Традиции Предков,Russia,Kursk,Belarus,Віцебск
61,916069408,2020,3.25,1279815,3865107,Badger Flanders,Sour - Flanders Red Ale,badger-brewery-badger-flanders,Badger Brewery,Belarus,,Belarus,Віцебск
62,916068705,2020,4.0,1279815,3860499,Departure,Sour - Fruited,valaduta-brovar-departure,Valaduta Brovar,Belarus,Володута,Belarus,Віцебск
63,915605099,2020,3.25,1279815,3832252,Freshly Hallows,Cider - Dry,beetlefield-freshly-hallows,Beetlefield,Belarus,Minsk,Belarus,Мінск
